,calendarDate,isOpen,date
258,1991/9/3,1,1991-09-03
259,1991/9/4,1,1991-09-04
260,1991/9/5,1,1991-09-05
261,1991/9/6,1,1991-09-06
262,1991/9/7,0,1991-09-07
263,1991/9/8,0,1991-09-08
264,1991/9/9,1,1991-09-09
265,1991/9/10,1,1991-09-10
266,1991/9/11,1,1991-09-11
267,1991/9/12,1,1991-09-12
268,1991/9/13,1,1991-09-13
269,1991/9/14,0,1991-09-14
270,1991/9/15,0,1991-09-15
271,1991/9/16,1,1991-09-16
272,1991/9/17,1,1991-09-17
273,1991/9/18,1,1991-09-18
274,1991/9/19,1,1991-09-19
275,1991/9/20,1,1991-09-20
276,1991/9/21,0,1991-09-21
277,1991/9/22,0,1991-09-22
278,1991/9/23,1,1991-09-23
279,1991/9/24,1,1991-09-24
280,1991/9/25,1,1991-09-25
281,1991/9/26,1,1991-09-26
282,1991/9/27,1,1991-09-27
283,1991/9/28,0,1991-09-28
284,1991/9/29,0,1991-09-29
285,1991/9/30,1,1991-09-30
286,1991/10/1,0,1991-10-01
287,1991/10/2,0,1991-10-02
288,1991/10/3,1,1991-10-03
289,1991/10/4,1,1991-10-04
290,1991/10/5,0,1991-10-05
291,1991/10/6,0,1991-10-06
292,1991/10/7,1,1991-10-07
293,1991/10/8,1,1991-10-08
294,1991/10/9,1,1991-10-09
295,1991/10/10,1,1991-10-10
296,1991/10/11,1,1991-10-11
297,1991/10/12,0,1991-10-12
298,1991/10/13,0,1991-10-13
299,1991/10/14,1,1991-10-14
300,1991/10/15,1,1991-10-15
301,1991/10/16,1,1991-10-16
302,1991/10/17,1,1991-10-17
303,1991/10/18,1,1991-10-18
304,1991/10/19,0,1991-10-19
305,1991/10/20,0,1991-10-20
306,1991/10/21,1,1991-10-21
307,1991/10/22,1,1991-10-22
308,1991/10/23,1,1991-10-23
309,1991/10/24,1,1991-10-24
310,1991/10/25,1,1991-10-25
311,1991/10/26,0,1991-10-26
312,1991/10/27,0,1991-10-27
313,1991/10/28,1,1991-10-28
314,1991/10/29,1,1991-10-29
315,1991/10/30,1,1991-10-30
316,1991/10/31,1,1991-10-31
317,1991/11/1,1,1991-11-01
318,1991/11/2,0,1991-11-02
319,1991/11/3,0,1991-11-03
320,1991/11/4,1,1991-11-04
321,1991/11/5,1,1991-11-05
322,1991/11/6,1,1991-11-06
323,1991/11/7,1,1991-11-07
324,1991/11/8,1,1991-11-08
325,1991/11/9,0,1991-11-09
326,1991/11/10,0,1991-11-10
327,1991/11/11,1,1991-11-11
328,1991/11/12,1,1991-11-12
329,1991/11/13,1,1991-11-13
330,1991/11/14,1,1991-11-14
331,1991/11/15,1,1991-11-15
332,1991/11/16,0,1991-11-16
333,1991/11/17,0,1991-11-17
334,1991/11/18,1,1991-11-18
335,1991/11/19,1,1991-11-19
336,1991/11/20,1,1991-11-20
337,1991/11/21,1,1991-11-21
338,1991/11/22,1,1991-11-22
339,1991/11/23,0,1991-11-23
340,1991/11/24,0,1991-11-24
341,1991/11/25,1,1991-11-25
342,1991/11/26,1,1991-11-26
343,1991/11/27,1,1991-11-27
344,1991/11/28,1,1991-11-28
345,1991/11/29,1,1991-11-29
346,1991/11/30,0,1991-11-30
347,1991/12/1,0,1991-12-01
348,1991/12/2,1,1991-12-02
349,1991/12/3,1,1991-12-03
350,1991/12/4,1,1991-12-04
351,1991/12/5,1,1991-12-05
352,1991/12/6,1,1991-12-06
353,1991/12/7,0,1991-12-07
354,1991/12/8,0,1991-12-08
355,1991/12/9,1,1991-12-09
356,1991/12/10,1,1991-12-10
357,1991/12/11,1,1991-12-11
358,1991/12/12,1,1991-12-12
359,1991/12/13,1,1991-12-13
360,1991/12/14,0,1991-12-14
361,1991/12/15,0,1991-12-15
362,1991/12/16,1,1991-12-16
363,1991/12/17,1,1991-12-17
364,1991/12/18,1,1991-12-18
365,1991/12/19,1,1991-12-19
366,1991/12/20,1,1991-12-20
367,1991/12/21,0,1991-12-21
368,1991/12/22,0,1991-12-22
369,1991/12/23,1,1991-12-23
370,1991/12/24,1,1991-12-24
371,1991/12/25,1,1991-12-25
372,1991/12/26,1,1991-12-26
373,1991/12/27,1,1991-12-27
374,1991/12/28,0,1991-12-28
375,1991/12/29,0,1991-12-29
376,1991/12/30,1,1991-12-30
377,1991/12/31,1,1991-12-31
378,1992/1/1,0,1992-01-01
379,1992/1/2,1,1992-01-02
380,1992/1/3,1,1992-01-03
381,1992/1/4,0,1992-01-04
382,1992/1/5,0,1992-01-05
383,1992/1/6,1,1992-01-06
384,1992/1/7,1,1992-01-07
385,1992/1/8,1,1992-01-08
386,1992/1/9,1,1992-01-09
387,1992/1/10,1,1992-01-10
388,1992/1/11,0,1992-01-11
389,1992/1/12,0,1992-01-12
390,1992/1/13,1,1992-01-13
391,1992/1/14,1,1992-01-14
392,1992/1/15,1,1992-01-15
393,1992/1/16,1,1992-01-16
394,1992/1/17,1,1992-01-17
395,1992/1/18,0,1992-01-18
396,1992/1/19,0,1992-01-19
397,1992/1/20,1,1992-01-20
398,1992/1/21,1,1992-01-21
399,1992/1/22,1,1992-01-22
400,1992/1/23,1,1992-01-23
401,1992/1/24,1,1992-01-24
402,1992/1/25,0,1992-01-25
403,1992/1/26,0,1992-01-26
404,1992/1/27,1,1992-01-27
405,1992/1/28,1,1992-01-28
406,1992/1/29,1,1992-01-29
407,1992/1/30,1,1992-01-30
408,1992/1/31,1,1992-01-31
409,1992/2/1,0,1992-02-01
410,1992/2/2,0,1992-02-02
411,1992/2/3,1,1992-02-03
412,1992/2/4,0,1992-02-04
413,1992/2/5,0,1992-02-05
414,1992/2/6,0,1992-02-06
415,1992/2/7,1,1992-02-07
416,1992/2/8,0,1992-02-08
417,1992/2/9,0,1992-02-09
418,1992/2/10,1,1992-02-10
419,1992/2/11,1,1992-02-11
420,1992/2/12,1,1992-02-12
421,1992/2/13,1,1992-02-13
422,1992/2/14,1,1992-02-14
423,1992/2/15,0,1992-02-15
424,1992/2/16,0,1992-02-16
425,1992/2/17,1,1992-02-17
426,1992/2/18,1,1992-02-18
427,1992/2/19,1,1992-02-19
428,1992/2/20,1,1992-02-20
429,1992/2/21,1,1992-02-21
430,1992/2/22,0,1992-02-22
431,1992/2/23,0,1992-02-23
432,1992/2/24,1,1992-02-24
433,1992/2/25,1,1992-02-25
434,1992/2/26,1,1992-02-26
435,1992/2/27,1,1992-02-27
436,1992/2/28,1,1992-02-28
437,1992/2/29,0,1992-02-29
438,1992/3/1,0,1992-03-01
439,1992/3/2,1,1992-03-02
440,1992/3/3,1,1992-03-03
441,1992/3/4,1,1992-03-04
442,1992/3/5,1,1992-03-05
443,1992/3/6,1,1992-03-06
444,1992/3/7,0,1992-03-07
445,1992/3/8,0,1992-03-08
446,1992/3/9,1,1992-03-09
447,1992/3/10,1,1992-03-10
448,1992/3/11,1,1992-03-11
449,1992/3/12,1,1992-03-12
450,1992/3/13,1,1992-03-13
451,1992/3/14,0,1992-03-14
452,1992/3/15,0,1992-03-15
453,1992/3/16,1,1992-03-16
454,1992/3/17,1,1992-03-17
455,1992/3/18,1,1992-03-18
456,1992/3/19,1,1992-03-19
457,1992/3/20,1,1992-03-20
458,1992/3/21,0,1992-03-21
459,1992/3/22,0,1992-03-22
460,1992/3/23,1,1992-03-23
461,1992/3/24,1,1992-03-24
462,1992/3/25,1,1992-03-25
463,1992/3/26,1,1992-03-26
464,1992/3/27,1,1992-03-27
465,1992/3/28,0,1992-03-28
466,1992/3/29,0,1992-03-29
467,1992/3/30,1,1992-03-30
468,1992/3/31,1,1992-03-31
469,1992/4/1,1,1992-04-01
470,1992/4/2,1,1992-04-02
471,1992/4/3,1,1992-04-03
472,1992/4/4,0,1992-04-04
473,1992/4/5,0,1992-04-05
474,1992/4/6,1,1992-04-06
475,1992/4/7,1,1992-04-07
476,1992/4/8,1,1992-04-08
477,1992/4/9,1,1992-04-09
478,1992/4/10,1,1992-04-10
479,1992/4/11,0,1992-04-11
480,1992/4/12,0,1992-04-12
481,1992/4/13,1,1992-04-13
482,1992/4/14,1,1992-04-14
483,1992/4/15,1,1992-04-15
484,1992/4/16,1,1992-04-16
485,1992/4/17,1,1992-04-17
486,1992/4/18,0,1992-04-18
487,1992/4/19,0,1992-04-19
488,1992/4/20,1,1992-04-20
489,1992/4/21,1,1992-04-21
490,1992/4/22,1,1992-04-22
491,1992/4/23,1,1992-04-23
492,1992/4/24,1,1992-04-24
493,1992/4/25,0,1992-04-25
494,1992/4/26,0,1992-04-26
495,1992/4/27,1,1992-04-27
496,1992/4/28,1,1992-04-28
497,1992/4/29,1,1992-04-29
498,1992/4/30,1,1992-04-30
499,1992/5/1,0,1992-05-01
500,1992/5/2,0,1992-05-02
501,1992/5/3,0,1992-05-03
502,1992/5/4,1,1992-05-04
503,1992/5/5,1,1992-05-05
504,1992/5/6,1,1992-05-06
505,1992/5/7,1,1992-05-07
506,1992/5/8,1,1992-05-08
507,1992/5/9,0,1992-05-09
508,1992/5/10,0,1992-05-10
509,1992/5/11,1,1992-05-11
510,1992/5/12,1,1992-05-12
511,1992/5/13,1,1992-05-13
512,1992/5/14,1,1992-05-14
513,1992/5/15,1,1992-05-15
514,1992/5/16,0,1992-05-16
515,1992/5/17,0,1992-05-17
516,1992/5/18,1,1992-05-18
517,1992/5/19,1,1992-05-19
518,1992/5/20,1,1992-05-20
519,1992/5/21,1,1992-05-21
520,1992/5/22,1,1992-05-22
521,1992/5/23,0,1992-05-23
522,1992/5/24,0,1992-05-24
523,1992/5/25,1,1992-05-25
524,1992/5/26,1,1992-05-26
525,1992/5/27,1,1992-05-27
526,1992/5/28,1,1992-05-28
527,1992/5/29,1,1992-05-29
528,1992/5/30,0,1992-05-30
529,1992/5/31,0,1992-05-31
530,1992/6/1,1,1992-06-01
531,1992/6/2,1,1992-06-02
532,1992/6/3,1,1992-06-03
533,1992/6/4,1,1992-06-04
534,1992/6/5,1,1992-06-05
535,1992/6/6,0,1992-06-06
536,1992/6/7,0,1992-06-07
537,1992/6/8,1,1992-06-08
538,1992/6/9,1,1992-06-09
539,1992/6/10,1,1992-06-10
540,1992/6/11,1,1992-06-11
541,1992/6/12,1,1992-06-12
542,1992/6/13,0,1992-06-13
543,1992/6/14,0,1992-06-14
544,1992/6/15,1,1992-06-15
545,1992/6/16,1,1992-06-16
546,1992/6/17,1,1992-06-17
547,1992/6/18,1,1992-06-18
548,1992/6/19,1,1992-06-19
549,1992/6/20,0,1992-06-20
550,1992/6/21,0,1992-06-21
551,1992/6/22,1,1992-06-22
552,1992/6/23,1,1992-06-23
553,1992/6/24,1,1992-06-24
554,1992/6/25,1,1992-06-25
555,1992/6/26,1,1992-06-26
556,1992/6/27,0,1992-06-27
557,1992/6/28,0,1992-06-28
558,1992/6/29,1,1992-06-29
559,1992/6/30,1,1992-06-30
560,1992/7/1,1,1992-07-01
561,1992/7/2,1,1992-07-02
562,1992/7/3,1,1992-07-03
563,1992/7/4,0,1992-07-04
564,1992/7/5,0,1992-07-05
565,1992/7/6,1,1992-07-06
566,1992/7/7,1,1992-07-07
567,1992/7/8,1,1992-07-08
568,1992/7/9,1,1992-07-09
569,1992/7/10,1,1992-07-10
570,1992/7/11,0,1992-07-11
571,1992/7/12,0,1992-07-12
572,1992/7/13,1,1992-07-13
573,1992/7/14,1,1992-07-14
574,1992/7/15,1,1992-07-15
575,1992/7/16,1,1992-07-16
576,1992/7/17,1,1992-07-17
577,1992/7/18,0,1992-07-18
578,1992/7/19,0,1992-07-19
579,1992/7/20,1,1992-07-20
580,1992/7/21,1,1992-07-21
581,1992/7/22,1,1992-07-22
582,1992/7/23,1,1992-07-23
583,1992/7/24,1,1992-07-24
584,1992/7/25,0,1992-07-25
585,1992/7/26,0,1992-07-26
586,1992/7/27,1,1992-07-27
587,1992/7/28,1,1992-07-28
588,1992/7/29,1,1992-07-29
589,1992/7/30,1,1992-07-30
590,1992/7/31,1,1992-07-31
591,1992/8/1,0,1992-08-01
592,1992/8/2,0,1992-08-02
593,1992/8/3,1,1992-08-03
594,1992/8/4,1,1992-08-04
595,1992/8/5,1,1992-08-05
596,1992/8/6,1,1992-08-06
597,1992/8/7,1,1992-08-07
598,1992/8/8,0,1992-08-08
599,1992/8/9,0,1992-08-09
600,1992/8/10,1,1992-08-10
601,1992/8/11,1,1992-08-11
602,1992/8/12,1,1992-08-12
603,1992/8/13,1,1992-08-13
604,1992/8/14,1,1992-08-14
605,1992/8/15,0,1992-08-15
606,1992/8/16,0,1992-08-16
607,1992/8/17,1,1992-08-17
608,1992/8/18,1,1992-08-18
609,1992/8/19,1,1992-08-19
610,1992/8/20,1,1992-08-20
611,1992/8/21,1,1992-08-21
612,1992/8/22,0,1992-08-22
613,1992/8/23,0,1992-08-23
614,1992/8/24,1,1992-08-24
615,1992/8/25,1,1992-08-25
616,1992/8/26,1,1992-08-26
617,1992/8/27,1,1992-08-27
618,1992/8/28,1,1992-08-28
619,1992/8/29,0,1992-08-29
620,1992/8/30,0,1992-08-30
621,1992/8/31,1,1992-08-31
622,1992/9/1,1,1992-09-01
623,1992/9/2,1,1992-09-02
624,1992/9/3,1,1992-09-03
625,1992/9/4,1,1992-09-04
626,1992/9/5,0,1992-09-05
627,1992/9/6,0,1992-09-06
628,1992/9/7,1,1992-09-07
629,1992/9/8,1,1992-09-08
630,1992/9/9,1,1992-09-09
631,1992/9/10,1,1992-09-10
632,1992/9/11,1,1992-09-11
633,1992/9/12,0,1992-09-12
634,1992/9/13,0,1992-09-13
635,1992/9/14,1,1992-09-14
636,1992/9/15,1,1992-09-15
637,1992/9/16,1,1992-09-16
638,1992/9/17,1,1992-09-17
639,1992/9/18,1,1992-09-18
640,1992/9/19,0,1992-09-19
641,1992/9/20,0,1992-09-20
642,1992/9/21,1,1992-09-21
643,1992/9/22,1,1992-09-22
644,1992/9/23,1,1992-09-23
645,1992/9/24,1,1992-09-24
646,1992/9/25,1,1992-09-25
647,1992/9/26,0,1992-09-26
648,1992/9/27,0,1992-09-27
649,1992/9/28,1,1992-09-28
650,1992/9/29,1,1992-09-29
651,1992/9/30,1,1992-09-30
652,1992/10/1,0,1992-10-01
653,1992/10/2,0,1992-10-02
654,1992/10/3,0,1992-10-03
655,1992/10/4,0,1992-10-04
656,1992/10/5,1,1992-10-05
657,1992/10/6,1,1992-10-06
658,1992/10/7,1,1992-10-07
659,1992/10/8,1,1992-10-08
660,1992/10/9,1,1992-10-09
661,1992/10/10,0,1992-10-10
662,1992/10/11,0,1992-10-11
663,1992/10/12,1,1992-10-12
664,1992/10/13,1,1992-10-13
665,1992/10/14,1,1992-10-14
666,1992/10/15,1,1992-10-15
